address,x,y
248 CHOA CHU KANG AVE 2,18274.3004964795,40109.0160782132
626 CHOA CHU KANG ST 62,18269.2709261617,42244.8408448789
789 CHOA CHU KANG NTH 6,18621.6085082246,41973.1733114105
671 CHOA CHU KANG CRES,18507.6200685129,42713.0967532955
296B CHOA CHU KANG AVE 2,17782.7364245215,39870.5384785384
604 CHOA CHU KANG ST 62,18130.2264073845,42229.4950074032
663 CHOA CHU KANG CRES,18815.510206135,42650.0283847358
101 TECK WHYE LANE,19199.5284089837,39985.6980773453
715 CLEMENTI WEST ST 2,20056.6213043295,31721.735270774
702 WEST COAST RD,19963.6032199003,32176.5683272555
607 CLEMENTI WEST ST 1,20714.3237964008,31841.3953858111
374 CLEMENTI AVE 4,20617.5720956447,33487.8871941324
346 CLEMENTI AVE 5,20949.006214669,33265.8330024239
109 CLEMENTI ST 11,21019.5170869417,33793.5978855882
339 CLEMENTI AVE 5,20857.4974129805,33547.3994075544
351 CLEMENTI AVE 2,21049.1145440163,33070.3322772011
334 CLEMENTI AVE 2,20778.8264739057,33052.0895515401
305 CLEMENTI AVE 4,20509.669397275,33812.4167925883
364 CLEMENTI AVE 2,20814.3832429536,32744.8442733102
371 CLEMENTI AVE 4,20754.2651855703,33648.0482020192
449 CLEMENTI AVE 3,20375.6452170815,32878.5697690398
418 CLEMENTI AVE 1,20953.5981099429,32498.181211995
730 CLEMENTI WEST ST 2,20187.7598862955,31901.2555297036
716 CLEMENTI WEST ST 2,20152.4499829225,31639.4568117913
709 CLEMENTI WEST ST 2,20063.2958487589,31962.4410783369
611 CLEMENTI WEST ST 1,20895.0027440162,31781.8430067748
348 CLEMENTI AVE 5,21053.0938455677,33228.1328666452
411 C'WEALTH AVE WEST,20905.6757798987,32575.9699906837
324 CLEMENTI AVE 5,20514.3442873601,33047.2941040751
307 CLEMENTI AVE 4,20631.1379940715,33741.0714622717
461 CLEMENTI AVE 3,20552.5417563803,32600.3005159125
723 CLEMENTI WEST ST 2,20220.1496254029,31715.940646898
724 CLEMENTI WEST ST 2,20214.1514190696,31772.0543105733
46 CIRCUIT RD,33868.1427839259,34265.0276947767
43 CIRCUIT RD,33812.2608519355,34301.2495119628
30 BALAM RD,33994.6238193614,34652.0338016395
21 BALAM RD,33971.5922143869,34822.6060576141
22 BALAM RD,34061.5828042803,34708.6031800751
